id,order
121,i anted a personal pie for toppings i think i'll take black beans and pine apple hold the tomatoes if you don't mind thanks much
122,i think i'llhave a meium supreme pizza with ricotta cheese but i don't want any sweet ptatoes on it
123,i ant you to put in an order for a medium-size pie and i think i'll go for toppings of zucchini and i guess olives also i don't like everthing thanks
124,repeat my favorite oder of a large pizza with peas feta and spicy red sauce and a medium pizza with only peas and feta
125,i'd be interested in 1 medium-size pizza with sauteed spinach and hummus with 1 medium-size coke
126,i'll just ake 10 medium-szed pizzas with sausage and 10 herbal teas
127,i need to place an order for a large jalapenos and smoked salmon pie with a lot of cheese
128,i like to have 9 med pizzas with roastd tomatoes mushrooms and bacon and 9 med pizzas with roastd tomatoes pepperoni green peppers and bacon and one med thi crust pizza with extra cheese
129,begin an order for me that includes 1 med pizza without hamburger but with pesto sauce and extra cheese
130,i'll just take a lunch pizza with meatball and onions but no pepperonis
131,i would like to get a medim-sized tomato and sausage pie no doule cheese
132,allow me to order a pie with gruyere cheese and zucchini without green olives please
133,i wish to have a pizza in medim size along with kimchi and olives pineapple
134,i would like to order a lunch pizza and it would be great if you put pineapple and capers on there thanks have a great day
135,i'm thinking about having a exra large pizza with mushy peas parmasean and chicken
136,hi toight i want a lare pie and i want red cabbage and beef on it make it newyork style please
137,5 large-size pizzas with chorizo and roasted red pepers
138,i'd like an order placed for a xl pizza with blue cheese and tuna on there and hold the mushrooms please
139,do me a favor and get me 1 pizza with hams lamb and pepperoni on it
140,i think i'll stick wih a lare garlic powder and green peppers pizza with no pineapple
141,i need to place an order for 1 pie with cheeseburger and sauce but avoid adding hot peppers please
142,please gt me fourteen mediumsized pizzas along with caramelized onions and tofu
143,how about placing an order for 1 pizza and i'd like green bell ricotta cheese mexican and please leave off the ricotta cheese thanks
144,i thik i'll try a medium pickled onions pine apple and black olive pizza
145,i want t try a pizza with hummus pepper and red cabbage please
146,i would lke to get a large-size pizza with green pepper and onions a medium pizza with italian sausage a large everything pizza and three large spries
147,i need to have eleven large capers vegetarian pizzas and two Orange juice
148,i would like to try the a lage anchovies pizza with carrots and no peppers
149,i'd ike to have thirteen lunch mushroom pizzas amd two large pizzas with extra mushroom
150,i'l try a pizza and please put peppers and lettuce on there but definitely no onions thanks
151,i like to tirteen pies i want all of them with bbq sauce lettuce and also ham thanks a lot
152,i need to order a xl size pizza with hams and a ittle parmasean but no sausage please
153,i'd prefer to go with a xl truffle oil and mushroom pizza with no bacon
154,hello my order is for a medim pizza with spinach and sweet potatoes but no extra leeks
155,let's ut in for 1 water six medium-size diet cokes and a medium fanta
156,could you please arrange for a large-size pizza with black olive and bacon and i really love the margarita
157,please make e 1 medium-sized garlic and ham pizza without sausage
158,i'm having a party in a few hours and i need a pie with boccoli and olives but without any pesto
159,i'll gofor the a large pizza and the toppings i want are leeks and roasted garlic sweet potatoes please
160,my order toda is for a medium-size pizza with roasted eggplant and pesto sauce but no double cheese
161,can you handle this order two lemon zest and hams pizza i don't want any bbq chicken on it and i'd like it medium
162,i want you to put in an order for a medium pie with sausage and peppers but i do not want pineapple on it
163,i would like have 8 pies that contain tomatoes roasted red peppers but no pepperoni
164,please put up 7 pizzas along with pesto sauce and hamburger but hold onion
165,i would like your a lunch pie which has pineaple and bacon tuna
166,could ou put in two medium-sized pies with pepperoni bacon but no heavy on cheese
167,my order for today is for 1 pizza with jalepeno peppers and garlic powder make it med and add a med coke with it
168,good afternoon i'm in te mood for two lunch pizzas with canadian bacon and corizo
169,i will try the a medim duck and goat cheese pie no tuna
170,i willget seen pizzas with pesonal size along with sweet corn mushrooms but no onions
171,let's go ahead with a pizza with no pickled onions
172,my order tonight i for a prsonal size pie that has sweet potatoes and fontina cheese no red onions please
173,eleven medium-sized hummus and cucumber pizzas with a two liter of pellegrino
174,i am going to need you to order me thirteen lunh alfredo hummus and hummus pies with no ham
175,i've decided on 4 personal pizzas with shrimp mushrooms but no ham
176,allow me to order a medium-sized ricotta cheese and pesto pizza with no sausage
177,let's try a large pizza with sauteed spinach and onions and a medium pepperoni pizza with a little bit cheese and a large iced teas
178,i think i'll order 1 large-sie pizza with banan pepper and a lttle cheese and don't put olives on it
179,fifteen personal pizzas with green pepper banana pepper and chorzo
180,let's settle on a extra lage leeks and cherry tomatos pizza with no pesto
181,i am trying to order a meium pizza with cheddar cheese mushrooms and peppers
182,please rder three small size pizzas
183,could you put in a extra large chard pepperonis and green pepper pizza please
184,i would like to order ten bell peppers and broccoli pizza with no tomato sauce
185,i need to put in an order for one exra large pizza pie and make that with pepperoni thin crust and ham as well thanks
186,we ned one pizza with banana pepper and all the meats and garlic powder thanks
187,i'd like to order just a pie with carrots feta and no poppy seeds please
188,i'd be interested in one pizza make it a large-size please and i want all of these toppings please: sweet corn caramelized onions as well as lamb that's all
189,i want you to put in an order or an mushrooms and pickled onions pie with no re onion
190,i'd be interested in a medium pizza with banana pepper peppers and tomato
191,let's make it a lunch meat lovers pizza with meatball and pepperonis
192,for tonight i just want a large-size pizza with tofu onions and olives and i'd like a pineaple soda too
193,fifteen large-size pizzas with black olive on all of them
194,fourten prsonal pizzas with proscutto and tomatoes
195,13 large-size pizzas with garlic powder and carrots
196,please may  have a pizza that's not everythng topped with lemon zest and roased red onion
197,i would like to place an order for two medium pizzas with vegetarian two medium pizzas with vegan pepperoni and sausage and two medium pizzas with all the veggies and a tiny bit of cheese
198,my order today is for a all the veggies sriracha sauce and cumin pie
199,let's se i want a a pizza with peas
200,today i just need 1 extra large pizza with leeks ham and margarita
201,plae my order for a xl size pizza with red onions balsamic glaze and without mushrooms please
202,ilove to have a pizza and ilove to have the med size but i'd like jalepenos on there as well as olives and lamb thanks a lot
203,please i wnt 11 lrge everythng pizzas with carrots on top
204,put an orer in for a large-size pizza along with alfredo chicken and gruyere cheese please avoid pineapple
205,i'll go for the a small pie along with chicken and add some a little cheese but hold onions
206,i 'd like to get a pizza with black olive chorizo and mushrooms please
207,okay let me think okay i'll take a med lamb and roasted garlic pie with no onions
208,can you handle this order thirten grilled peppers and peppers pies with no mushrooms
209,i'd like  total of 1 pizza with xl size along with jalepenos and yellow peppers but no pepperoni
210,repeat my order for a mushrooms pizza with artichokes and no parsley
211,i would like to have a extra large pizza i'd love banana pepper on it and i love veggies lover please do not put any cheesburger on there i don't like cheesburger on pizza
212,i will try the a pesonal pie with pickled onions and prosciutto and no black olive
213,i think i'll have a large-size pizza with tuna mushrooms and more cheese
214,i'll go for a total of a pizza along with cheese roasted garlic but no chicken
215,place an order for a exra large onion and chicken pie with no ham
216,plase order ten pesto and pepper pizza with no onions
217,i'd like to order a large pie with yelow peppers tuna along with ham
218,cn i have pizza along with mint and leeks and no black olives
219,11 medium-size a tiny bit of kimchi a tiny bit of hot peppes pizzas please
220,we eed a supree pizza with capes and chicken
221,please put up one lunch pie with blue cheese and tomato but no red peppers
222,please help e order 1 large pizza with spicy red sauce onions and pineapple
223,my order for today is for a small pie and i want low fat cheese and mushrooms on it make it meat lovers please
224,can i choose a bell peppers and oregano pie with spicy red sauce
225,could you put in a med pizza with red cabbage and extra cheese and no tuna please
226,a large-size pizza with ground beef and onion
227,ok i want a small pizza with just kimchi and onions and no mushrooms please
228,i'm going to have 1 pie with capers and sausage but without any ham
229,can i get one pizza make it a medium and i'd like it with ham and red cabbage but please do not make it with light duck
230,i need two lght on large pizzas with smoked salmon and mushrooms and one small pizza with lght on cheese
231,i'l go for the a medium-sized with peas and beef and chicken
232,i'd love o have a xl bell peppers and pineapple pie with no ham
233,i'm ordering a persnal pickles and pepperoni pizza with no green peppers
234,he order me 6 med pizzas with broccoli olives and bacon to go with five bottles of coke
235,i prefer to have a small lamb tomato sauce mushroom pizza
236,i'd appreciate a medium-size pizza with spicy red sauce italian susage black olives onions and anchovies and three medium-size Sports drinks
237,for tonight i just want a lunch pizza for toppings i want sweet corn no chese and i want the all the veggies style i love that that's it
238,i amgoing to need a peronal pizza along with pickles sun-dried omatoes but avoid bacon
239,may  have a sweet potatoes roasted red onion and artichokes pizza
240,can you sort out 6 medium-sized italian sausage and oregano pizzas with no ham
241,i want to finalize with a pizza today and i'd love it topped with hummus and spinach but i don't want any cherry tomatoes hate cherry tomatoes
242,iwant to order a medium-sized pizza with meatball and onions but no a iny bit of cheese please
243,i'm ready to have two xl pickles pizzas with light on the pickled onions on top
244,help me get 5 pizzas with low fat cheese and margarita prosciutto
245,i'd love to place an order for 7 med supreme meat lovers pizzas
246,make sure to get me 3 pies that contain sweet potatoes cucumber but no pepperoni
247,i'd have a med onion and spicy red sauce pizza no a drizzle cheese though
248,4 large-size pizzas with roasted red peppers tomato and bacon
249,lets decide on a small pizza and on it i'll take green pepper jalapenos and i want high-rise style
250,yeah just get me one pizza and i'd like red peppers veggie and please leave off the peppers thanks
251,i like to hae a large combination chicken pizza with a ginger ale
252,i'm having a party in a few hours and i need nine large-size seven up two pepsis and then five large-size diet cokes
253,ok i want 14 large pizzas with low fat cheese and italian sausage and add 14 coke ero to it
254,i'm all ready to order okay plese give me two mdium-size pizzas with more tuna and two mdium-size pizzas with extra jalpenos ordered
255,place my order for a small bay leaves and mushy peas pizza with no broccoli
256,please can i have a medium-size pizza with jalepenos and grilled chicken but without bacon
257,i need a otal of 8 medium-sized pizzas with one pellerino
258,i think i'll stick wih 1 small pie with parmesan and pickles and no red abbage
259,iwanna get a xl pizza with green peppers bacon heav on sauce and heav on cheese and a medium pizza with sausage and anchovies
260,i lie to try 4 pizzas in medium size along with chicken bacon and a Esprsso
261,tonight i'm in the mood for a extra large sauteed spinach and onion pizza and i need you to leave off the olives please
262,seven medium-size pizzas with banana pepper
263,i need t have a pie and for toppings i'm in the mood for sausage and put some pineapple on there too but please absolutely no peppers
264,i'd prefer to go with a xl goronzola and pineapple pie with no ham
265,i would like to go for a smoked salmon and buffalo sauce pie with sauteed spinach
266,put in an order or a medium spinach and capers pizza with fontinacheese on it
267,just 14 small pies with everyhing and jalapenos prawns
268,could you please get me a pizza medum in size including ham and red cabbage but without broccoi
269,i want to oder seven Pomegranate juice a coke and five medium fantas
270,i want to have one medium pie with basil cheddar cheese and ham please
271,i'm craving a pie along with lemon zest ricotta cheese high-rise and a sparkling water
272,i'm craving one med pizza with canadian bacon spicy red sauce green peppers onions black olives extra cheese and extra canadian bacon and four med diet cokes
273,sort meout with 1 pizza today and i'd love it topped with hamburger and goat cheese but i don't want any truffle oil hate truffle oil
274,orer a pizza in extra large size along with mushrooms and onions but no ham
275,i would like have a large additonal green bell peppers pizza
276,for this afternoon i only want a personal pie with goat cheese and pineapple but no pesto
277,i'd like to place an order for 4 pizzas with sriracha sauce and buffalo sauce but do not add pineapple
278,today i'd like 8 pizzas with bbq sauce and pepperonis but do not add pineapple
279,do me a favor and please put up 12 pesonal pizzas with sauce mushrooms and peppers
280,hey order me veggies lover pizza with a lot of shrimp and light on the roasted eggplant
281,a pizza small sized with light poppy seeds tuna and mushrooms added
282,i'll go ahead and order a large-size pizza for toppings i want ham no onions and i want the mexican style i love that that's it
283,i preer 15 medium supreme popp seeds pizzas and 15 large Lemonade
284,i want to get a personal everything pesto sauce pizza with no onions
285,can you handle this order 2 Srsaparilla along with a coke and a diet sprite
286,good afternoon can i please have a large sweet corn and pesto pizza no sausage
287,i'm thinking about having 13 large sausage pizza and 13 can of Espreso
288,may i have a large-sie leeks and pesto pizza with no sausage
289,i want to finalize with 3 medium pizzas with pineapple parmesn and salami
290,okay goo afternoon i'd like two medium-size pizzas with sweet corn and smoked salmon along with a large parsly pizza
291,i would like to order a medium-sized pie and i'd like kimchi on there as well as spnach but definitely no onions thanks
292,i would like to have 1 large pizza with pineapples bell peppers but hold any pesto please
293,i'll go wih 1 pizza along with cheese onions but no pesto
294,i'll go for a total of a large-size pizza with canadian bacon sausage mushrooms green pepper black olives onions and a tiny it of cheese
295,i feel like ordering a medium-szed lamb and chicken pizza with no olives
296,i'll try the a peronal pizza with green olives on it
297,i am going to need 1 medium-size pizza with broccoli anchovies and hold the pesto please
298,please arrange to get a small sized pie which has ricotta cheese and newyork style tofu
299,could you put n a goat cheese and spicy red sauce pizza with no stuff crust
300,let's see i wat a a large pie and no capers please
301,i only ant a pizza with carrots pine apple and red cabbage
302,i would love to get eleven xl high-rise pies with black olives and onions
303,fetch me a small pizza with salami olives and ham
304,could i settle on 1 pizza with med size along with buffalo sauce and bacon but no pepperoni
305,this order is for a pizza and please put some ricotta cheese on there with green pepper and peas okay
306,today i need a vgan pizza with jalapenos and pine apple and a Espreso please
307,i love to have a large pizza with cucmber and a iny bit of onions on it
308,i'd like to get a lunch buffalo sauce and ham pizza without tuna
309,i need anorder of thireen parmesan pizzas thireen mountain dew and a coke
310,i'd be happy with 8 large stuffed crust pies with canadian bacon and onions
311,i'd like to order 11 Oat milk three medium-size fantas and a large dr pepper
312,i'd be nterested in two xl pizzas with black olive tofu and with no olives
313,let's see i want a one extra large roasted garlic and red cabbage pizza without extra cheese
314,i need a medium-size pie along with roasted garlic peas but hold tuna
315,i wold like your a tomatoes and cheesburger pizza just need one and leave off the bacon
316,i guess i'll get a large pizza with roasted red peppers feta and a little bit cheese and two small seven up
317,i want toorder six extralarge pizzas and two lemon and two diet lemon
318,place an order for ten jalepenos pizzas for me
319,can you sort out a xl pizza with fontina cheese canadian bacon and no mushrooms
320,how about grabbing a extra lage olive and onion pizza with pineapple on it
321,i'll take one xl pizza with tuna bacon and light on the cheese and one large sweetened Chai tea late
322,for today please make me a personal pizza with hams and parmasean but without peppers
323,id like to order one large pizza with a rizzle black olives and redonions and no pesto please
324,i would like to try the 1 medim-size pie with cherry tomatoes and bacon and no mushrooms
325,a extra large pizza with anchovies and italian sausage
326,lunch pizza with canadian bacon cheese and no duck
327,for today i jst want a pizza with small size along with gorgonzola onions but no sun-dried tomatoes
328,put an order in for a xl pizza along with grilled chicken and parmesan but avoid ham
329,just a luch spicy red sauce and pepperoni pizza with a little bit cheese
330,i need you to begin an order for 1 pie with green pepper extra shrimp and without bbq sauce
331,i ave a pizza with no beef
332,let's decide on a pesto yellow peppers and ham pizza i just need one
333,i'd be happy with a vegtarian tuna pizza and no pesto sauce please
334,plese put up 1 xl pie with black olive and tofu but avoid pesto
335,1 large stuff crust pizza without parsley and two medium additional sun-dried tomatoes pizzas
336,i'm ready to have a large pizza and rd onion pesto tuna
337,i wll try one extra large prawns pizza one extra large tomatoes pizza and one extra large combination pizza without bell peppers
338,have a medium sauteed spiach and pesto pie on chiago style
339,i'l try the fouteen large-size pizzas with tomatoe sauce and peppers
340,11 med pizzas with jalepenos hummus and feta
341,begin an order for me that includes ten fanta with five medium-sie diet sprites and one coke
342,i'll hve a medium-sie red cabbage and roasted red peppers pizza with no cheeseburger
343,i prefer one large pineapple soda one fanta and three pepsis please
344,let me secure a pizza with kimchi and pesto and i do not want vegetarian
345,i tink i'll grab one medium-ized pizza with prawns tomatos and black olives and two medium-ized pineappl soda and two medium-ized ice teas
346,i'd like to have a lunch pizza pepperoni sausage and with no all the meats
347,ok i want a lunch pizza with oregano and broccoli but leave off the mushrooms
348,can i have ten extra large pizzas with lemon zest sausage and tuna
349,eleven peronal pizzas with leeks and tofu
350,i need to order a smal pizza with black bens sausage and duble cheese
351,i wat one pizza with alfredo chicken garlic powder but hold mushrooms
352,i'm leaning oward five pies in lrge size along with jalepenos and pine apple
353,i need to have 12 medium-ized pepperoni veggie pizzas and two dr peppers
354,i wan to have a med sized pizza along with italian sausage pepperonis but without poppy seeds
355,please put up one pie in large size along with pepper and green gruyere cheese but without gruyere cheese
356,can i choose a smal size pizza that has artichokes and sriracha sauce but no more cheese
357,i'd like to secure a medium-size smoked salmon pizza with parmesan and jalapenos
358,lets gt two medium-size deep dish pies with basil and pepper
359,i'd like an order placed for large size along with pineapple and mushy peas without caramelized onions
360,i'll go for the four large garlic and cheddar cheese pizzas and two bg meat pizza
361,give e one large-size pizza along with capers and some gruyere cheese onions
362,eight medium-size pizzas with pepperoni and yellow peppers
363,put up a small banana peppers pizza with a little cheese and no mushrooms please
364,could i opt for a pizza with caramelized onions muhrooms and pesto on it
365,i'd love to hae 6 xl bay leaves and cumin pies
366,tonight i'm in the mood for a black olives and hams pizza with no green pepper
367,could you please arange for 4 cheese and roasted tomatoes pizza with no green olives
368,let's put i for a xl pizza with peas red onions and green peppers and a medium doctor peppers
369,hook me up with a large-size pie along with vega pepperoni olives but hold tuna
370,i just want 1 large-size pizza with hams mushrooms and black olives and two large-size fantas and two large-size ice teas
371,this afternoon i need jst one xl green pepper and bacon pizza with a xl fanta
372,repeat my order for 7 peronal cucumber pizzas with all the veggies and no olives
373,i am trying to order a large red onions and roasted eggplant pie no extra canadianbacon
374,i'll try the two lrge-size stuff crust feta pizzas with a lrge-size Cappuccinos
375,i am going to need you to order me eleven medium-szed cokes one medium sprite and an a little bit medium-szed combination pizza with a little bit cheese and a little bit mushrooms
376,i would lke to place an order for a xl tuna and cucumbr pie
377,i need to put in an order for a pizza along with sauce tomato sauce without chicken
378,i like to try a chicken pizza with a tiny bit of zucchini and no pesto
379,i want to medium pizza with contain tofu roasted eggplant olives and sprite
380,i need an order placed for a pizza in small size along with anchovies and pesto but without ham
381,i tink i'll try 2 pizzas with balsamic glaze and peppr but no mushrooms please
382,i want 1 pie in large size along with bell peppers and ham but without mushrooms
383,i'd be happy with eight Chai tea latte but i want six diet cokes and i need them all mdium-size also i'd like a fanta make that medium
384,i wanted to have a medium capers and broccoli pie with lighton the cumn on it
385,yeah jst get me a extra large pie which has red cabbage and roasted eggplant tuna
386,loking for 13 small size pizzas
387,i would love to have a pizza with with roasted tomatoes garlc and bacon
388,sort meout with a xl sweet corn and extra green peppers pizza without any peppers
389,okay let me think okay i'll take a roasted red onion and sriracha sauce pie with light on cheese
390,please order me 1 lunch oregano pizza with fresh blue cheese
391,i love to have a pie along with red cabbage and chicken but without pepperoni
392,how about adding a large pizza with oregano and olives pepperoni
393,1 large pizza with no hummus please
394,bgin an order for a extr large pizza with canadian bacon onions and olives add a ice teas with no sugar too
395,i think i'll grab a medium-sized pie along with black beans and lettuce and add some light on the cheese
396,i'm goingto have 15 med pizzas with ground beef mushrooms and peppers
397,can you order me a medim-sized pizza with jalepenos pine apple and no sriracha sauce
398,i'd lik to order just a coconut water two dr peppers and four medium-sized pepsis
399,can you arrange 7 medium-sized pizzas with tuna and 7 seven up
400,i'll go for a total of a pizza with mint bll peppers and pesto on it
401,i think i'll order 6 red peppers pizzas for me
402,i need 1 pie in small size along with tomato sauce and garlic but without green bell peppers
403,can you order me a large-size pizza with meatball and black olives and without any ham please
404,i' like an order placed for a small pickles and black olive pie with no pesto sauce
405,i'd be happy wth a pizza with basil prosciutto and pineapple please
406,please an i have a small pizza pie and please an i have both green peppers and oregano on it but please no ham
407,can we go for thrteen large-size pizzas topped with sweet potatoes and grund beef
408,i need a total of a lemon zest and poppy seeds pie with mint
409,i would like a large pizza with lemon zest bacon black olives onions and anchovies and three large Macchiats
410,i'd love to place an ordr for 1 small pizza with pickled onons and green peppers 1 small pizza with pickled onons and mushrooms and 1 small pizza with ham black olives and onions
411,good evening for tonight i'll take six medium-size pizzas for me both with poppy seeds and onion and without olives
412,let's settle on eleen bbq sauce pizzas now
413,let me finalize with a smll cucumber and light cheese pizza no mushrooms please
414,i wanted to have a pie with sausage and green olives but without any lemon zest
415,my order for todayis for 1 mexican alfredo chcken pepperoni medium-sze pie
416,good afternoon can i please have a large cumn and mushroom pie on a stuff crust
417,my oder is for one medium-size pizza with pepperonis green olives and tomatoe sace
418,i 'd like to get a small new york style olive and chicken pie
419,ill go for a total of a small pie with bell peppers and mint and no additional trufle oil please
